left_side,right_side,similarity,companyName,industryCode,industry
kintetsu world express canada inc ,Kintetsu World Express,0.9280704336257881,Kintetsu World Express,116.0,logistics / supply chain
solutions 2 go inc ,Solutions 2 GO,0.943463881621838,Solutions 2 GO,116.0,logistics / supply chain
traffic tech,Traffic Tech Inc.,0.9269135430217822,Traffic Tech Inc.,116.0,logistics / supply chain
life time inc ,Life Time,0.9390867737777248,Life Time,124.0,health/ wellness / fitness
myant inc ,Myant,0.9137930614736481,Myant,124.0,health/ wellness / fitness
canadian solar inc ,Canadian Solar,0.9241096084047195,Canadian Solar,144.0,renewables / environment
lg electronics,LG Electronics Canada,0.9145587176923511,LG Electronics Canada,144.0,renewables / environment
northland power inc ,NORTHLAND POWER,0.9455338742212819,NORTHLAND POWER,144.0,renewables / environment
bwx technologies inc ,BWX Technologies,0.9704026008984156,BWX Technologies,1.0,defense / space
fph group inc ,FPH Group,0.9327841689305585,FPH Group,1.0,defense / space
hr project partners inc ,HR Project Partners,0.973340169777789,HR Project Partners,137.0,human resources
staffy inc ,Staffy,0.9194092157856955,Staffy,137.0,human resources
coast2coast first aid and aquatics,Coast2Coast First Aid & Aquatics Inc.,0.9901342628315697,Coast2Coast First Aid & Aquatics Inc.,69.0,education management
canada department of justice,Department of Justice Canada,0.9626918809234899,Department of Justice Canada,69.0,education management
versacold logistic services,versacold logistics services,0.9167670101724721,versacold logistics services,116.0,logistics / supply chain
versacold logistic services,versacold logistics services,0.9167670101724721,versacold logistics services,93.0,warehousing
barry callebaut group,Barry Callebaut,0.9214012947326167,Barry Callebaut,105.0,professional training / coaching
piranha games,Piranha Games Inc.,0.9718307159460108,Piranha Games Inc.,109.0,computer games
northern security ltd,Northern Security,0.928590832146378,Northern Security,121.0,security / investigations
regal security inc ,Regal Security,0.9447888689179565,Regal Security,121.0,security / investigations
stealth monitoring inc ,Stealth Monitoring,0.954473452251119,Stealth Monitoring,121.0,security / investigations
goldrich printpak inc,Goldrich Printpak,0.9597458247702977,Goldrich Printpak,146.0,packaging / containers
canadian bearings,Canadian Bearings Ltd.,0.9331851073931601,Canadian Bearings Ltd.,147.0,industrial automation
promation engineering inc ,Promation Engineering,0.9519745094403462,Promation Engineering,147.0,industrial automation
caterpillar inc ,Caterpillar,0.9401463673660152,Caterpillar,43.0,financial services
foresters financial services,"Foresters Financial Services, Inc.",0.9729208949425159,"Foresters Financial Services, Inc.",43.0,financial services
gatestone and co ,Gatestone & Co. Inc,0.9347616049364952,Gatestone & Co. Inc,43.0,financial services
hoopp (healthcare of ontario pension plan),Healthcare of Ontario Pension Plan (HOOPP),0.9576108477024545,Healthcare of Ontario Pension Plan (HOOPP),43.0,financial services
source one financial,Source One Financial Corp,0.917995780501983,Source One Financial Corp,43.0,financial services
ssq assurance | ssq insurance,SSQ Assurance,0.9216593270107063,SSQ Assurance,43.0,financial services
caesarstone canada,Caesarstone,0.9132127621065534,Caesarstone,49.0,building materials
canwel building materials,CANWEL BUILDING MATERIALS LTD,0.9629028621832587,CANWEL BUILDING MATERIALS LTD,49.0,building materials
euroline windows inc ,EuroLine Windows,0.9738019813169464,EuroLine Windows,49.0,building materials
autocanada,AutoCanada Inc.,0.9326671732500154,AutoCanada Inc.,53.0,automotive
bristol car and truck rental,Bristol Car and Truck Rentals,0.9540283444560144,Bristol Car and Truck Rentals,53.0,automotive
cox automotive inc ,Cox Automotive,0.9602503742011209,Cox Automotive,53.0,automotive
driven brands inc ,Driven Brands,0.9605593411656712,Driven Brands,53.0,automotive
the humberview group,Humberview Group,0.9181777819841239,Humberview Group,53.0,automotive
jfk systems,JFK Systems Inc.,0.9679731789502394,JFK Systems Inc.,53.0,automotive
mitsui high tec (canada) inc ,MITSUI HIGH-TEC CANADA,0.9735454556186072,MITSUI HIGH-TEC CANADA,53.0,automotive
pbs systems inc ,PBS Systems,0.9609886946226905,PBS Systems,53.0,automotive
pfaff automotive partners,Pfaff Automotive Partners Inc.,0.9822038166413813,Pfaff Automotive Partners Inc.,53.0,automotive
precision resource inc ,Precision Resource,0.9599176479280312,Precision Resource,53.0,automotive
roadwarrior inc ,roadwarrior,0.9465127635368564,roadwarrior,4.0,computer software
roadwarrior inc ,roadwarrior,0.9465127635368564,roadwarrior,53.0,automotive
berg chilling systems inc ,Berg Chilling Systems,0.9722043085556292,Berg Chilling Systems,55.0,machinery
husky injection molding systems,Husky Injection Molding Systems Ltd,0.9721663889952962,Husky Injection Molding Systems Ltd,55.0,machinery
lincoln electric company of canada lp,Lincoln Electric Company of Canada,0.9365006477715406,Lincoln Electric Company of Canada,55.0,machinery
4refuel,4Refuel Canada,0.9071680662868629,4Refuel Canada,57.0,oil / energy
slacan industries,SLACAN INDUSTRIES INC.,0.9694619777030776,SLACAN INDUSTRIES INC.,57.0,oil / energy
trans northern pipelines inc ,TRANS-NORTHERN PIPELINES,0.9770387865637349,TRANS-NORTHERN PIPELINES,57.0,oil / energy
burlington hydro inc ,Burlington Hydro,0.956782604953092,Burlington Hydro,59.0,utilities
ministry of municipal and rural affairs and housing,Ministry of Municipal Affairs and Housing,0.9142170006702932,Ministry of Municipal Affairs and Housing,59.0,utilities
planview utility services limited,Planview Utility Services,0.9085644797319605,Planview Utility Services,59.0,utilities
power engineers,"POWER Engineers, Inc.",0.959658486325269,"POWER Engineers, Inc.",59.0,utilities
kgk science inc ,KGK Science,0.9587667850228894,KGK Science,70.0,research
john howard society of ontario,John Howard Society Ontario,0.9567618775537505,John Howard Society Ontario,78.0,public safety
scholastic canada,Scholastic Canada Ltd.,0.9229027740420059,Scholastic Canada Ltd.,82.0,publishing
ecycle solutions,eCycle Solutions Inc.,0.9663607110650511,eCycle Solutions Inc.,86.0,environmental services
luminor environmental inc ,LUMINOR Environmental,0.9685129424225837,LUMINOR Environmental,86.0,environmental services
united rentals,"United Rentals, Inc.",0.9532310722617747,"United Rentals, Inc.",86.0,environmental services
the yonge street mission,Yonge Street Mission,0.9056332190293847,Yonge Street Mission,90.0,civic / social/ganization
skyservice business aviation inc ,Skyservice Business Aviation,0.9741758398948542,Skyservice Business Aviation,94.0,airlines/aviation
tandemlaunch inc ,TandemLaunch,0.9570365727792651,TandemLaunch,106.0,venture capital / private equity
ainsworth inc,Ainsworth,0.9387800488461118,Ainsworth,122.0,facilities services
strabag,STRABAG Inc.,0.937240550884208,STRABAG Inc.,122.0,facilities services
champion products corp,Champion Products,0.9198953450358429,Champion Products,133.0,wholesale
the alcohol and gaming commission of ontario,Alcohol and Gaming Commission of Ontario,0.9683740932587496,Alcohol and Gaming Commission of Ontario,75.0,government administration
the city of belleville,City of Belleville,0.9385700786028273,City of Belleville,75.0,government administration
city of guelph,The City of Guelph,0.9306498308795664,The City of Guelph,75.0,government administration
ontario ministry of government and consumer services,Ministry of Government and Consumer Services,0.9096044494306402,Ministry of Government and Consumer Services,75.0,government administration
town of whitby,The Town of Whitby,0.93397170035336,The Town of Whitby,75.0,government administration
canada post / postes canada,Canada Post - Postes Canada,0.9045355019680239,Canada Post - Postes Canada,87.0,package/freight delivery
purolator inc ,Purolator,0.929796443267112,Purolator,87.0,package/freight delivery
arbor memorial inc ,Arbor Memorial,0.9587854292446073,Arbor Memorial,91.0,consumer services
enercare inc ,ENERCARE,0.9173374433443169,ENERCARE,91.0,consumer services
eventscape,Eventscape Inc.,0.9499261135610789,Eventscape Inc.,99.0,design
roma moulding inc ,Roma Moulding,0.9541735074870648,Roma Moulding,99.0,design
optima communications international,Optima Communications International Inc.,0.9724147129898454,Optima Communications International Inc.,123.0,outsourcing/offshoring
haakon industries ltd ,Haakon Industries,0.9533142358993639,Haakon Industries,135.0,mechanical/ industrial engineering
hydro inc ,Hydro,0.9003352917865218,Hydro,135.0,mechanical/ industrial engineering
xylem inc ,Xylem,0.9196275780911982,Xylem,135.0,mechanical/ industrial engineering
benefit cosmetics,Benefit Cosmetics Canada,0.926879723941402,Benefit Cosmetics Canada,143.0,luxury goods / jewelry
